Tipo esercizio pa;Ubicazione;Tipo via;Via;Civico;Codice via;ZD;Prevalente;Superficie altri usi;Superficie lavorativa
Parrucchiere per signora;"VIA MASOLINO DA PANICALE N. 12 ; (z.d. 8)";VIA;MASOLINO DA PANICALE;12;7264;8;;;40
Parrucchiere per signora;"VIA MASOTTO UMBERTO N. 20 ; (z.d. 4)";VIA;MASOTTO UMBERTO;20;3283;4;;9;21
Parrucchiere per signora;"VIA MECENATE N. 38 ; (z.d. 4)";VIA;MECENATE;38;3323;4;;2;25
Parrucchiere per signora;"VIA MECENATE N. 5 ; (z.d. 4)";VIA;MECENATE;5;3323;4;;;45
Parrucchiere per signora;"VIA MECENATE N. 99 ; (z.d. 4)";VIA;MECENATE;99;3323;4;;32;20
Parrucchiere per signora;"VIA MEDA GIUSEPPE N. 15 ; (z.d. 5)";VIA;MEDA GIUSEPPE;15;5242;5;;;18
Parrucchiere per signora;"VIA MEDA GIUSEPPE num.033a; (z.d. 5)";VIA;MEDA GIUSEPPE;;5242;5;;;29
Parrucchiere per signora;"VIA MEDEGHINO N. 15 ; (z.d. 5)";VIA;MEDEGHINO;15;5335;5;;;31
Parrucchiere per signora;"VIA MEDEGHINO N. 32 ; (z.d. 5)";VIA;MEDEGHINO;32;5335;5;;;30
Parrucchiere per signora;"VIA MEDEGHINO N. 4 ; (z.d. 5)";VIA;MEDEGHINO;4;5335;5;;;48
Parrucchiere per signora;"VIA MELATO MARIA N. 10 ; (z.d. 8)";VIA;MELATO MARIA;10;7366;8;;30;
Parrucchiere per signora;"VIA MELLONI MACEDONIO N. 32 ; (z.d. 4)";VIA;MELLONI MACEDONIO;32;3085;4;;;
Parrucchiere per signora;"VIA MELZO N. 30 ; (z.d. 3)";VIA;MELZO;30;2184;3;;;34
Parrucchiere per signora;"VIA MENABREA LUIGI FEDERICO N. 20 ; (z.d. 9)";VIA;MENABREA LUIGI FEDERICO;20;1322;9;;;30
Parrucchiere per signora;"VIA MENOTTI CIRO N. 1 ; (z.d. 3)";VIA;MENOTTI CIRO;1;3184;3;;;70
Parrucchiere per signora;"VIA MERAVIGLI N. 16 ; (z.d. 1)";VIA;MERAVIGLI;16;614;1;;;
Parrucchiere per signora;"VIA MERCADANTE SAVERIO N. 10 ; (z.d. 3)";VIA;MERCADANTE SAVERIO;10;2232;3;;;39
Parrucchiere per signora;"VIA MERCADANTE SAVERIO N. 17 ; (z.d. 3)";VIA;MERCADANTE SAVERIO;17;2232;3;;;80
Parrucchiere per signora;"VIA MERCATO N. 10 ; (z.d. 1)";VIA;MERCATO;10;717;1;;;25
Parrucchiere per signora;"VIA MEUCCI ANTONIO N. 2 ; (z.d. 2)";VIA;MEUCCI ANTONIO;2;2497;2;;;34
Parrucchiere per signora;"VIA MICHELINO DA BESOZZO N. 10 ; (z.d. 8)";VIA;MICHELINO DA BESOZZO;10;7263;8;;;27
Parrucchiere per signora;"VIA MILLELIRE DOMENICO N. 20 ; (z.d. 7)";VIA;MILLELIRE DOMENICO;20;6620;7;;1;19
Parrucchiere per signora;"VIA MINCIO N. 12 ; (z.d. 4)";VIA;MINCIO;12;4157;4;;;13
Parrucchiere per signora;"VIA MODENA GUSTAVO N. 21 ; (z.d. 3)";VIA;MODENA GUSTAVO;21;3122;3;;;
Parrucchiere per signora;"VIA MODENA GUSTAVO N. 25 ; (z.d. 3)";VIA;MODENA GUSTAVO;25;3122;3;;3;17
Parrucchiere per signora;"VIA MOLA PIER FRANCESCO N. 3 ; (z.d. 8)";VIA;MOLA PIER FRANCESCO;3;7391;8;;;31
Parrucchiere per signora;"VIA MOLA PIER FRANCESCO N. 7 ; (z.d. 8)";VIA;MOLA PIER FRANCESCO;7;7391;8;ACCONCIATORE;;56
Parrucchiere per signora;"VIA MOLINO DELLE ARMI N. 19 ; (z.d. 1)";VIA;MOLINO DELLE ARMI;19;591;1;;;27
Parrucchiere per signora;"VIA MOLINO DELLE ARMI num.0035; (z.d. 1)";VIA;MOLINO DELLE ARMI;;591;1;;26;32
Parrucchiere per signora;"VIA MONDOVI' N. 4 ; (z.d. 2)";VIA;MONDOVI';4;2515;2;;;21
Parrucchiere per signora;"VIA MONFALCONE N. 34 ; (z.d. 3)";VIA;MONFALCONE;34;2538;3;;;25
Parrucchiere per signora;"VIA MONTEGANI LODOVICO N. 13 ; (z.d. 5)";VIA;MONTEGANI LODOVICO;13;5330;5;;4;30
Parrucchiere per signora;"VIA MONTEGANI LODOVICO N. 23 ; (z.d. 5)";VIA;MONTEGANI LODOVICO;23;5330;5;;;19
Parrucchiere per signora;"VIA MONTEGANI LODOVICO N. 2 ; (z.d. 5)";VIA;MONTEGANI LODOVICO;2;5330;5;;;29
Parrucchiere per signora;"VIA MONTE NAPOLEONE N. 13 ; (z.d. 1)";VIA;MONTE NAPOLEONE;13;219;1;;;110
Parrucchiere per signora;"VIA MONTE NAPOLEONE N. 17 piano ammezzato; (z.d. 1)";VIA;MONTE NAPOLEONE;17;219;1;;;37
Parrucchiere per signora;"VIA MONTE PALOMBINO N. 8 ; (z.d. 4)";VIA;MONTE PALOMBINO;8;4368;4;;;41
Parrucchiere per signora;"VIA MONTE POPERA N. 9 ; (z.d. 4)";VIA;MONTE POPERA;9;4365;4;;;34
Parrucchiere per signora;"VIA MONTE ROSA N. 3 ; (z.d. 7)";VIA;MONTE ROSA;3;6388;7;;;37
Parrucchiere per signora;"VIA MONTE ROSA num.019e; (z.d. 6)";PZA;BAZZI GIOVANNI ANTONIO;2;6102;6;;;
Parrucchiere per signora;"VIA MONTE ROTONDO N. 3 ; (z.d. 9)";VIA;MONTE ROTONDO;3;1449;9;;1;33
Parrucchiere per signora;"VIA MONTE SAN GABRIELE N. 10 ; (z.d. 2)";VIA;MONTE SAN GABRIELE;10;2481;2;;;15
Parrucchiere per signora;"VIA MONTE SAN GENESIO N. 14 ; (z.d. 9)";VIA;MONTE SAN GENESIO;14;1299;9;;;
Parrucchiere per signora;"VIA MONTE SAN GENESIO N. 20 ; (z.d. 9)";VIA;MONTE SAN GENESIO;20;1299;9;;;
Parrucchiere per signora;"VIA MONTE SAN GENESIO N. 5 ; (z.d. 9)";VIA;MONTE SAN GENESIO;5;1299;9;;;37
Parrucchiere per signora;"VIA MONTI VINCENZO num.057a; (z.d. 1)";VIA;S. GIOV. SUL MURO;14;609;1;;;44
Parrucchiere per signora;"VIA MORA GIAN GIACOMO N. 12 ; (z.d. 1)";VIA;MORA GIAN GIACOMO;12;594;1;;15;55
Parrucchiere per signora;"VIA MORGAGNI GIOVANNI BATTISTA N. 14 ; (z.d. 3)";VIA;MORGAGNI GIOVANNI BATTISTA;14;2158;3;;;
Parrucchiere per signora;"VIA MORGANTINI MARIO N. 25 ; (z.d. 7)";VIA;MORGANTINI MARIO;25;6568;7;;;36
Parrucchiere per signora;"VIA MORONE GEROLAMO N. 3 ; (z.d. 1)";VIA;MORONE GEROLAMO;3;200;1;;;
Parrucchiere per signora;"VIA MOROSINI EMILIO N. 12 ; (z.d. 4)";VIA;MOROSINI EMILIO;12;3073;4;;;33
Parrucchiere per signora;"VIA MOROSINI EMILIO N. 33 ; (z.d. 4)";VIA;MOROSINI EMILIO;33;3073;4;;;26
Parrucchiere per signora;"VIA MOSCA ANTONIO num.017; (z.d. 7)";VIA;DELLE FORZE ARMATE;333;6643;7;;;
Parrucchiere per signora;"VIA MOSCATI PIETRO N. 20 ; (z.d. 1)";VIA;MOSCATI PIETRO;20;7136;1;;;24
Parrucchiere per signora;"VIA MURAT GIOACCHINO N. 70 ; (z.d. 9)";VIA;MURAT GIOACCHINO;70;1316;9;;;8
Parrucchiere per signora;"VIA MURAT GIOACCHINO N. 8 ; (z.d. 9)";VIA;MURAT GIOACCHINO;8;1316;9;;5;16
Parrucchiere per signora;"VIA MURATORI LODOVICO N. 11 ; (z.d. 4)";VIA;MURATORI LODOVICO;11;4076;4;;;
Parrucchiere per signora;"VIA MURATORI LODOVICO N. 26 ; (z.d. 4)";VIA;MURATORI LODOVICO;26;4076;4;;;29
Parrucchiere per signora;"VIA MURATORI LODOVICO N. 42 ; (z.d. 4)";VIA;MURATORI LODOVICO;42;4076;4;;;14
Parrucchiere per signora;"VIA MUSSI GIUSEPPE N. 15 ; (z.d. 8)";VIA;MUSSI GIUSEPPE;15;7199;8;;;31
Parrucchiere per signora;"VIA NEERA ANNA num.0253; (z.d. 5)";VIA;F.LLI FRASCHINI;2;4355;5;;10;26
Parrucchiere per signora;"VIA NEGROLI N. 11 ; (z.d. 4)";VIA;NEGROLI;11;3279;4;;;37
Parrucchiere per signora;"VIA NICCODEMI DARIO N. 6 ; (z.d. 8)";VIA;NICCODEMI DARIO;6;7380;8;;9;19
Parrucchiere per signora;"VIA NICCOLINI GIOVANNI BATTISTA N. 25 ; (z.d. 8)";VIA;NICCOLINI GIOVANNI BATTISTA;25;7129;8;;16;18
Parrucchiere per signora;"VIA NOTA ALBERTO N. 46 ; (z.d. 9)";VIA;NOTA ALBERTO;46;1624;9;;;31
Parrucchiere per signora;"VIA NOVARA N. 105 ; (z.d. 7)";VIA;NOVARA;105;6624;7;;;18
Parrucchiere per signora;"VIA NOVARA N. 141 ; (z.d. 7)";VIA;NOVARA;141;6624;7;;;18
Parrucchiere per signora;"VIA OGLIO N. 3 ; (z.d. 4)";VIA;OGLIO;3;4105;4;;;23
Parrucchiere per signora;"VIA OLONA N. 12 ; (z.d. 1)";VIA;OLONA;12;5090;1;;3;84
Parrucchiere per signora;"VIA ORIANI ALFREDO N. 2 ; (z.d. 1)";VIA;ORIANI ALFREDO;2;4025;1;;;
Parrucchiere per signora;"VIA ORNATO LUIGI N. 7 ; (z.d. 9)";VIA;ORNATO LUIGI;7;1591;9;;;
Parrucchiere per signora;"VIA OROBONI ANTONIO N. 13 ; (z.d. 9)";VIA;OROBONI ANTONIO;13;1635;9;;;
Parrucchiere per signora;"VIA ORTICA N. 3 ; (z.d. 3)";VIA;ORTICA;3;3242;3;;;29
Parrucchiere per signora;"VIA OVADA N. 1 ; (z.d. 6)";VIA;OVADA;1;5352;6;;4;23
Parrucchiere per signora;"VIA PACINI GIOVANNI N. 22 ; (z.d. 3)";VIA;PACINI GIOVANNI;22;2571;3;;;34
Parrucchiere per signora;"VIA PACINI GIOVANNI N. 50 ; (z.d. 3)";VIA;PACINI GIOVANNI;50;2571;3;;6;40
Parrucchiere per signora;"VIA PACINI GIOVANNI N. 70 ; (z.d. 3)";VIA;PACINI GIOVANNI;70;2571;3;;1;47
Parrucchiere per signora;"VIA PADOVA N. 142 ; (z.d. 2)";VIA;PADOVA;142;2275;2;;;24
Parrucchiere per signora;"VIA PADOVA N. 182 ; (z.d. 2)";VIA;PADOVA;182;2275;2;;;27
Parrucchiere per signora;"VIA PADOVA N. 186 ; (z.d. 2)";VIA;PADOVA;186;2275;2;;;49
Parrucchiere per signora;"VIA PADOVA N. 217 ; (z.d. 2)";VIA;PADOVA;217;2275;2;;3;24
Parrucchiere per signora;"VIA PADOVA N. 235 ; (z.d. 2)";VIA;PADOVA;235;2275;2;;;40
Parrucchiere per signora;"VIA PADOVA N. 288 ; (z.d. 2)";VIA;PADOVA;288;2275;2;;;
Parrucchiere per signora;"VIA PADOVA N. 310 ; (z.d. 2)";VIA;PADOVA;310;2275;2;;;16
Parrucchiere per signora;"VIA PADOVA N. 40 ; (z.d. 2)";VIA;PADOVA;40;2275;2;;3;52
Parrucchiere per signora;"VIA PALAZZI LAZZARO N. 15 ; (z.d. 3)";VIA;PALAZZI LAZZARO;15;2171;3;;4;31
Parrucchiere per signora;"VIA PALERMO N. 15 ; (z.d. 1)";VIA;PALERMO;15;1025;1;;;47
Parrucchiere per signora;"VIA PALERMO N. 1 ; (z.d. 1)";VIA;PALERMO;1;1025;1;;;
Parrucchiere per signora;"VIA PALLADIO ANDREA num.003a; (z.d. 5)";VIA;PALLADIO ANDREA;;4213;5;;2;30
Parrucchiere per signora;"VIA PALMA JACOPO N. 10 ; (z.d. 7)";VIA;PALMA JACOPO;10;6605;7;;;24
Parrucchiere per signora;"VIA PALMANOVA N. 30 ; (z.d. 3)";VIA;PALMANOVA;30;2390;3;;;33
Parrucchiere per signora;"VIA PALMANOVA N. 81 ; (z.d. 2)";VIA;PALMANOVA;81;2390;2;;;
Parrucchiere per signora;"VIA PALMANOVA num.1551; (z.d. 2)";VIA;BOSCHETTI ERASMO;7;1309;2;;3;28
Parrucchiere per signora;"VIA PALMIERI NICOLA N. 30 ; (z.d. 5)";VIA;PALMIERI NICOLA;30;5323;5;;;
Parrucchiere per signora;"VIA PANIZZI ANTONIO N. 12 ; (z.d. 6)";VIA;PANIZZI ANTONIO;12;6486;6;;5;45
Parrucchiere per signora;"VIA PANTIGLIATE N. 11 ; (z.d. 6)";VIA;PANTIGLIATE;11;6651;6;;;32
Parrucchiere per signora;"VIA PAOLO DA CANNOBIO N. 8 ; (z.d. 1)";VIA;PAOLO DA CANNOBIO;8;338;1;;;50
Parrucchiere per signora;"VIA PARENZO N. 6 ; (z.d. 6)";VIA;PARENZO;6;5367;6;;;
Parrucchiere per signora;"VIA PARETO VILFREDO N. 11 ; (z.d. 8)";VIA;PARETO VILFREDO;11;7440;8;;12;15
Parrucchiere per signora;"VIA PARINI GIUSEPPE N. 9 ; (z.d. 1)";VIA;PARINI GIUSEPPE;9;1049;1;;;
Parrucchiere per signora;"VIA PARINI GIUSEPPE num.005a; (z.d. 1)";VIA;PARINI GIUSEPPE;;1049;1;;3;70
Parrucchiere per signora;"VIA PASCARELLA CESARE N. 1 ; (z.d. 8)";VIA;PASCARELLA CESARE;1;7349;8;;;27
Parrucchiere per signora;"VIA PASCOLI GIOVANNI N. 3 ; (z.d. 3)";VIA;PASCOLI GIOVANNI;3;3132;3;;;
Parrucchiere per signora;"VIA PASSERONI GIAN CARLO N. 2 ; (z.d. 5)";VIA;PASSERONI GIAN CARLO;2;4065;5;;;
Parrucchiere per signora;"VIA PAULLO N. 13 ; (z.d. 4)";VIA;PAULLO;13;3177;4;;;27
Parrucchiere per signora;"VIA PELITTI GIUSEPPE N. 2 ; (z.d. 2)";VIA;PELITTI GIUSEPPE;2;2412;2;;3;30
Parrucchiere per signora;"VIA PETROCCHI POLICARPO N. 2 ; (z.d. 2)";VIA;PETROCCHI POLICARPO;2;2320;2;;2;36
Parrucchiere per signora;"VIA PIACENZA N. 1 ; (z.d. 5)";VIA;PIACENZA;1;4064;5;;;
Parrucchiere per signora;"VIA PICCO MADRE ANNA EUGENIA N. 8 ingresso via celentano; (z.d. 2)";VIA;PICCO MADRE ANNA EUGENIA;8;2386;2;;;22
Parrucchiere per signora;"VIA PIERLUIGI GIOVANNI DA PALESTRINA N. 36 ; (z.d. 2)";VIA;PIERLUIGI GIOVANNI DA PALESTRINA;36;2235;2;;;39
Parrucchiere per signora;"VIA PIERLUIGI GIOVANNI DA PALESTRINA N. 4 ; (z.d. 3)";VIA;PIERLUIGI GIOVANNI DA PALESTRINA;4;2235;3;;;31
Parrucchiere per signora;"VIA PIERO DELLA FRANCESCA N. 22 ; (z.d. 8)";VIA;PIERO DELLA FRANCESCA;22;7188;8;;;
Parrucchiere per signora;"VIA PIERO DELLA FRANCESCA N. 38 ; (z.d. 8)";VIA;PIERO DELLA FRANCESCA;38;7188;8;;;
Parrucchiere per signora;"VIA PIERO DELLA FRANCESCA N. 51 ; (z.d. 8)";VIA;PIERO DELLA FRANCESCA;51;7188;8;;2;24
Parrucchiere per signora;"VIA PILO ROSOLINO N. 9 ; (z.d. 3)";VIA;PILO ROSOLINO;9;2189;3;;;65
Parrucchiere per signora;"VIA PIO II N. 3 int. osp. s. carlo; (z.d. 7)";VIA;PIO II;3;6832;7;;;61
Parrucchiere per signora;"VIA PISACANE CARLO N. 40 ; (z.d. 3)";VIA;PISACANE CARLO;40;2188;3;;;
Parrucchiere per signora;"VIA PISANELLO N. 26 ; (z.d. 7)";VIA;PISANELLO;26;6600;7;;;16
Parrucchiere per signora;"VIA PISANI VITTOR N. 5 piano rialzato; (z.d. 2)";VIA;PISANI VITTOR;5;1201;2;;;72
Parrucchiere per signora;"VIA PISTRUCCI SCIPIONE N. 25 ; (z.d. 4)";VIA;PISTRUCCI SCIPIONE;25;3215;4;;;21
Parrucchiere per signora;"VIA PLANA GIOVANNI ANTONIO N. 49 ; (z.d. 8)";VIA;PLANA GIOVANNI ANTONIO;49;7177;8;;;38
Parrucchiere per signora;"VIA PLINIO CAIO SECONDO N. 39 ; (z.d. 3)";VIA;PLINIO CAIO SECONDO;39;2144;3;;;
Parrucchiere per signora;"VIA PLINIO CAIO SECONDO N. 40 ; (z.d. 3)";VIA;PLINIO CAIO SECONDO;40;2144;3;;;37
Parrucchiere per signora;"VIA PLINIO CAIO SECONDO N. 5 ; (z.d. 3)";VIA;PLINIO CAIO SECONDO;5;2144;3;;3;46
Parrucchiere per signora;"VIA PLINIO CAIO SECONDO N. 63 ; (z.d. 3)";VIA;PLINIO CAIO SECONDO;63;2144;3;;1;40
Parrucchiere per signora;"VIA POERIO CARLO num.04143; (z.d. 3)";VIA;POERIO CARLO;;3181;3;;;
Parrucchiere per signora;"VIA POGGIBONSI N. 14 ; (z.d. 7)";VIA;POGGIBONSI;14;6601;7;;;
Parrucchiere per signora;"VIA POLA N. 15 ; (z.d. 9)";VIA;POLA;15;1156;9;;;33
Parrucchiere per signora;"VIA POLIZIANO num.005.; (z.d. 6)";VIA;POLIZIANO;;7196;8;;;37
Parrucchiere per signora;"VIA POMA CARLO N. 18 ingr.via archimede; (z.d. 4)";VIA;POMA CARLO;18;3090;4;;;
Parrucchiere per signora;"VIA POMPONAZZI PIETRO N. 4 ; (z.d. 5)";VIA;POMPONAZZI PIETRO;4;5246;5;;;30
Parrucchiere per signora;"VIA PONALE N. 66 ; (z.d. 9)";VIA;PONALE;66;1616;9;;;39
Parrucchiere per signora;"VIA PONALE N. 6 ; (z.d. 9)";VIA;PONALE;6;1616;9;;;
Parrucchiere per signora;"VIA PONCHIELLI AMILCARE N. 1 ; (z.d. 3)";VIA;PONCHIELLI AMILCARE;1;2142;3;;26;26
Parrucchiere per signora;"VIA PONTACCIO N. 2 ; (z.d. 1)";VIA;PONTACCIO;2;143;1;;;30
Parrucchiere per signora;"VIA PONTACCIO N. 7 ; (z.d. 1)";VIA;PONTACCIO;7;143;1;;4;17
Parrucchiere per signora;"VIA PONTE NUOVO N. 48 ; (z.d. 2)";VIA;PONTE NUOVO;48;2494;2;;;
Parrucchiere per signora;"VIA PONTE SEVESO N. 28 ; (z.d. 2)";VIA;PONTE SEVESO;28;1203;2;;4;35
Parrucchiere per signora;"VIA PONTE SEVESO N. 40 ; (z.d. 2)";VIA;PONTE SEVESO;40;1203;2;;;40
Parrucchiere per signora;"VIA PONTE SEVESO N. 44 ; (z.d. 2)";VIA;PONTE SEVESO;44;1203;2;;;
Parrucchiere per signora;"VIA PONTI ANDREA N. 1 ; (z.d. 6)";VIA;PONTI ANDREA;1;5293;6;;2;32
Parrucchiere per signora;"VIA PONTI DELLA PRIULA N. 2 ; (z.d. 4)";VIA;PONTI DELLA PRIULA;2;4170;4;;;22
Parrucchiere per signora;"VIA PONTI ETTORE N. 43 ; (z.d. 6)";VIA;PONTI ETTORE;43;5297;6;;;30
Parrucchiere per signora;"VIA PONTI ETTORE N. 54 ; (z.d. 6)";VIA;PONTI ETTORE;54;5297;6;;;33
Parrucchiere per signora;"VIA POPOLI UNITI N. 15 ; (z.d. 2)";VIA;POPOLI UNITI;15;2293;2;;;36
Parrucchiere per signora;"VIA PORDENONE N. 13 ; (z.d. 3)";VIA;PORDENONE;13;2650;3;;5;44
Parrucchiere per signora;"VIA PORDENONE N. 28 ; (z.d. 3)";VIA;PORDENONE;28;2650;3;;;48
Parrucchiere per signora;"VIA PORPORA NICOLA ANTONIO N. 107 ; (z.d. 3)";VIA;PORPORA NICOLA ANTONIO;107;2229;3;;11;22
Parrucchiere per signora;"VIA PORPORA NICOLA ANTONIO N. 126 ; (z.d. 3)";VIA;PORPORA NICOLA ANTONIO;126;2229;3;;4;24
Parrucchiere per signora;"VIA PORPORA NICOLA ANTONIO N. 14 ; (z.d. 3)";VIA;PORPORA NICOLA ANTONIO;14;2229;3;;2;18
Parrucchiere per signora;"VIA PORPORA NICOLA ANTONIO N. 167 ; (z.d. 3)";VIA;PORPORA NICOLA ANTONIO;167;2229;3;;;43
Parrucchiere per signora;"VIA PORPORA NICOLA ANTONIO N. 89 ; (z.d. 3)";VIA;PORPORA NICOLA ANTONIO;89;2229;3;;;37
Parrucchiere per signora;"VIA PORTINARI PIGELLO N. 1 ; (z.d. 2)";VIA;PORTINARI PIGELLO;1;1408;2;;;25
Parrucchiere per signora;"VIA PREDA PIERO N. 2 ; (z.d. 5)";VIA;PREDA PIERO;2;5245;5;;;
Parrucchiere per signora;"VIA PRESTINARI MARCELLO N. 5 ; (z.d. 9)";VIA;PRESTINARI MARCELLO;5;1269;9;;;35
Parrucchiere per signora;"VIA PREVIATI GAETANO N. 72 ; (z.d. 7)";VIA;PREVIATI GAETANO;72;6384;7;;;33
Parrucchiere per signora;"VIA PRIMATICCIO FRANCESCO N. 32 ; (z.d. 6)";VIA;PRIMATICCIO FRANCESCO;32;6646;6;;7;24
Parrucchiere per signora;"VIA PRINA GIUSEPPE num.002a; (z.d. 8)";VIA;PRINA GIUSEPPE;;7135;8;;;30
Parrucchiere per signora;"VIA PROCACCINI GIULIO CESARE N. 27 ; (z.d. 8)";VIA;PROCACCINI GIULIO CESARE;27;7204;8;;;36
Parrucchiere per signora;"VIA PROCACCINI GIULIO CESARE N. 66 ; (z.d. 8)";VIA;PROCACCINI GIULIO CESARE;66;7204;8;;;38
Parrucchiere per signora;"VIA PROCACCINI GIULIO CESARE N. 69 ; (z.d. 8)";VIA;PROCACCINI GIULIO CESARE;69;7204;8;;;35
Parrucchiere per signora;"VIA PROCOPIO N. 5 ; (z.d. 6)";VIA;PROCOPIO;5;6117;6;;4;14
Parrucchiere per signora;"VIA PULCI LUIGI N. 14 ; (z.d. 9)";VIA;PULCI LUIGI;14;1622;9;;;
Parrucchiere per signora;"VIA QUADRONNO N. 34 ; (z.d. 1)";VIA;QUADRONNO;34;4021;1;;;25
Parrucchiere per signora;"VIA QUARENGHI GIACOMO N. 34 ; (z.d. 8)";VIA;QUARENGHI GIACOMO;34;7478;8;;;37
Parrucchiere per signora;"VIA QUINTO ROMANO N. 52 ; (z.d. 7)";VIA;QUINTO ROMANO;52;6333;7;;7;27
Parrucchiere per signora;"VIA QUINTO ROMANO N. 70 ; (z.d. 7)";VIA;QUINTO ROMANO;70;6333;7;;;24
Parrucchiere per signora;"VIA RASORI GIOVANNI N. 12 ; (z.d. 7)";VIA;RASORI GIOVANNI;12;6190;7;;;22
Parrucchiere per signora;"VIA RASORI GIOVANNI N. 2 ; (z.d. 7)";VIA;RASORI GIOVANNI;2;6190;7;;;59
Parrucchiere per signora;"VIA RASORI GIOVANNI N. 8 ; (z.d. 7)";VIA;RASORI GIOVANNI;8;6190;7;;;32
Parrucchiere per signora;"VIA RAVIZZA CARLO N. 24 ; (z.d. 7)";VIA;RAVIZZA CARLO;24;6285;7;;;
Parrucchiere per signora;"VIA REGALDI GIUSEPPE N. 21 ; (z.d. 9)";VIA;REGALDI GIUSEPPE;21;1578;9;;;25
Parrucchiere per signora;"VIA REMBRANDT N. 12 ; (z.d. 7)";VIA;REMBRANDT;12;6618;7;;;12
Parrucchiere per signora;"VIA REMBRANDT N. 22 ; (z.d. 7)";VIA;REMBRANDT;22;6618;7;;5;40
Parrucchiere per signora;"VIA REMBRANDT N. 27 ; (z.d. 7)";VIA;REMBRANDT;27;6618;7;;;20
Parrucchiere per signora;"VIA REMBRANDT N. 49 ; (z.d. 7)";VIA;REMBRANDT;49;6618;7;;3;39
Parrucchiere per signora;"VIA REMBRANDT N. 58 ; (z.d. 7)";VIA;REMBRANDT;58;6618;7;;4;45
Parrucchiere per signora;"VIA REMBRANDT N. 67 ; (z.d. 7)";VIA;REMBRANDT;67;6618;7;;;24
Parrucchiere per signora;"VIA REMBRANDT N. 69 ; (z.d. 7)";VIA;REMBRANDT;69;6618;7;;;28
Parrucchiere per signora;"VIA REZIA N. 8 ; (z.d. 4)";VIA;REZIA;8;3200;4;;;23
Parrucchiere per signora;"VIA RICCIARELLI DANIELE N. 45 ; (z.d. 7)";VIA;RICCIARELLI DANIELE;45;6553;7;;;29
Parrucchiere per signora;"VIA RICORDI GIOVANNI N. 2 ; (z.d. 3)";VIA;RICORDI GIOVANNI;2;2251;3;;;
Parrucchiere per signora;"VIA RIMINI N. 23 ; (z.d. 6)";VIA;RIMINI;23;5267;6;;;41
Parrucchiere per signora;"VIA RIMINI N. 5 ; (z.d. 5)";VIA;RIMINI;5;5267;5;;;
Parrucchiere per signora;"VIA RIPAMONTI GIUSEPPE N. 113 ; (z.d. 5)";VIA;RIPAMONTI GIUSEPPE;113;4066;5;;;
Parrucchiere per signora;"VIA RIPAMONTI GIUSEPPE N. 184 ; (z.d. 5)";VIA;RIPAMONTI GIUSEPPE;184;4066;5;;;26
Parrucchiere per signora;"VIA RIPAMONTI GIUSEPPE N. 190 ; (z.d. 5)";VIA;RIPAMONTI GIUSEPPE;190;4066;5;;;
Parrucchiere per signora;"VIA RIPAMONTI GIUSEPPE N. 193 ; (z.d. 5)";VIA;RIPAMONTI GIUSEPPE;193;4066;5;;5;21
Parrucchiere per signora;"VIA RIPAMONTI GIUSEPPE N. 218 ; (z.d. 5)";VIA;RIPAMONTI GIUSEPPE;218;4066;5;;;23
Parrucchiere per signora;"VIA RIPAMONTI GIUSEPPE N. 219 ; (z.d. 5)";VIA;RIPAMONTI GIUSEPPE;219;4066;5;;;44
Parrucchiere per signora;"VIA RIPAMONTI GIUSEPPE N. 236 ; (z.d. 5)";VIA;RIPAMONTI GIUSEPPE;236;4066;5;;;30
Parrucchiere per signora;"VIA RIPAMONTI GIUSEPPE N. 9 ; (z.d. 5)";VIA;RIPAMONTI GIUSEPPE;9;4066;5;;1;42
Parrucchiere per signora;"VIA RIPAMONTI GIUSEPPE num.199.; (z.d. 5)";VIA;VAL DI SOLE;22;4295;5;;;18
Parrucchiere per signora;"VIA RISMONDO FRANCESCO N. 2 ; (z.d. 7)";VIA;RISMONDO FRANCESCO;2;6756;7;;;30
Parrucchiere per signora;"VIA RISMONDO FRANCESCO N. 30 ; (z.d. 7)";VIA;RISMONDO FRANCESCO;30;6756;7;;6;36
Parrucchiere per signora;"VIA RISMONDO FRANCESCO N. 5 ; (z.d. 7)";VIA;RISMONDO FRANCESCO;5;6756;7;;3;12
Parrucchiere per signora;"VIA RISMONDO FRANCESCO N. 9 ; (z.d. 7)";VIA;RISMONDO FRANCESCO;9;6756;7;;;
Parrucchiere per signora;"VIA RIVA DI TRENTO N. 2 ; (z.d. 4)";VIA;RIVA DI TRENTO;2;4155;4;;5;14
Parrucchiere per signora;"VIA ROCCA D'ANFO N. 4 ; (z.d. 9)";VIA;ROCCA D'ANFO;4;1556;9;;;28
Parrucchiere per signora;"VIA ROMBON N. 29 ; (z.d. 3)";VIA;ROMBON;29;2659;3;;38;30
Parrucchiere per signora;"VIA ROMBON N. 38 ; (z.d. 3)";VIA;ROMBON;38;2659;3;;1;16
Parrucchiere per signora;"VIA ROMBON N. 44 ; (z.d. 3)";VIA;ROMBON;44;2659;3;;2;37
Parrucchiere per signora;"VIA ROMEO NICOLA N. 6 ; (z.d. 5)";VIA;ROMEO NICOLA;6;5479;5;;;57
Parrucchiere per signora;"VIA ROMILLI ARCIVESCOVO N. 24 ; (z.d. 5)";VIA;ROMILLI ARCIVESCOVO;24;4154;5;;;20
