t_es,t_via,via,civ,cod_via,zd,sup_alt,sup_lav
Parrucchiere per Donna,Via,VALFURVA,1,1168,9,25.0,32.0
Acconciatore,Via,VALFURVA,2,1168,9,6.0,31.0
Parrucchiere per Uomo,Via,VALFURVA,4,1168,9,6.0,30.0
Parrucchiere per Donna,Viale,ZARA,112,1170,2,4.0,31.0
Acconciatore,Viale,ZARA,116,1170,2,6.0,50.0
Parrucchiere per Uomo,Viale,ZARA,118,1170,2,5.0,17.0
Tipo A - Estetica Manuale;Tipo C - Trattamenti Estetici Dimagrimento;Tipo B - Centro di Abbronzatura,Viale,ZARA,118,1170,2,2.5,112.0
Parrucchiere per Uomo,Viale,ZARA,13,1170,9,5.0,20.5
Parrucchiere per Uomo,Viale,ZARA,145,1170,9,2.0,16.0
Parrucchiere per Donna,Viale,ZARA,21,1170,9,4.0,35.0
Parrucchiere per Uomo;Parrucchiere per Donna,Viale,ZARA,61,1170,9,6.0,34.0
Tipo A - Estetica Manuale;Tipo B - Centro di Abbronzatura,Viale,ZARA,9,1170,9,26.5,48.5
Parrucchiere per Donna,Via,LARIO,13A,1171,9,3.0,21.0
Acconciatore,Via,LARIO,30,1171,9,2.0,49.0
Acconciatore,Via,LARIO,54,1171,9,6.0,60.0
Parrucchiere per Donna,Via,LARIO,9,1171,9,4.0,66.0
Tipo A - Estetica Manuale,Via,LARIO,9,1171,9,8.0,45.0
Parrucchiere per Donna,Via,GENOVA THAON DI REVEL,10,1172,9,4.0,31.0
Parrucchiere per Donna,Viale,NAZARIO SAURO,5,1175,2,4.0,31.0
Acconciatore,Viale,NAZARIO SAURO,9,1175,2,3.0,25.0
Tipo A - Estetica Manuale,Via,RAFFAELE PARRAVICINI,18,1176,2,8.0,45.0
Acconciatore,Via,GIUSEPPE VERDI,2,118,1,6.0,37.0
Parrucchiere per Donna,Via,ANTONIO BORDONI,12,1180,9,11.0,16.0
Acconciatore,Via,GUSTAVO FARA,14,1183,2,6.0,74.0
Tipo A - Estetica Manuale;Tipo B - Centro di Abbronzatura,Via,GUSTAVO FARA,30,1183,2,26.5,23.0
Parrucchiere per Uomo,Via,GUSTAVO FARA,31,1183,9,5.0,24.0
Acconciatore,Via,GUSTAVO FARA,5,1183,9,6.0,22.0
Parrucchiere per Uomo,Via,GUSTAVO FARA,9,1183,9,5.0,20.0
Acconciatore,Via,VINCENZO VIVIANI,2,1185,9,6.0,62.0
Acconciatore,Via,FRANCESCO ARESE,20,1186,9,6.0,37.0
Parrucchiere per Uomo;Tipo A - Estetica Manuale,Via,VALTELLINA,40,1188,9,10.0,31.0
Acconciatore,Via,ROMAGNOSI,4,119,1,6.0,37.0
