t_es,t_via,via,civ,cod_via,zd,sup_alt,sup_lav
Tipo A - Estetica Manuale,Via,FRATELLI RUFFINI,11,6163,1,8.0,45.0
Acconciatore;Tipo A - Estetica Manuale,Via,FRATELLI RUFFINI,9,6163,1,3.0,81.0
Parrucchiere per Uomo,Via,SEBETO,1,6167,1,5.0,20.5
Tipo A - Estetica Manuale,Piazzale,FRANCESCO BARACCA,10,6180,7,8.0,45.0
Parrucchiere per Donna,Piazzale,FRANCESCO BARACCA,8,6180,7,4.0,71.0
Tipo A - Estetica Manuale,Via,FRANCESCO PETRARCA,16,6182,1,8.0,16.0
Acconciatore,Via,LORENZO MASCHERONI,14,6183,1,6.0,35.0
Tipo A - Estetica Manuale,Via,LORENZO MASCHERONI,20,6183,1,8.0,46.0
Parrucchiere per Donna,Via,LORENZO MASCHERONI,22,6183,1,4.0,31.0
Acconciatore,Via,LUDOVICO ARIOSTO,27,6184,1,6.0,51.0
Tipo A - Estetica Manuale;Tipo B - Centro di Abbronzatura,Via,LUDOVICO ARIOSTO,34,6184,1,26.5,48.5
Tipo A - Estetica Manuale;Tipo B - Centro di Abbronzatura,Via,MARIO PAGANO,4,6186,1,26.5,48.5
Acconciatore,Via,ALBERTO DA GIUSSANO,1,6188,7,5.0,26.0
Parrucchiere per Donna,Via,GIOVANNI RASORI,12,6190,7,4.0,22.0
Parrucchiere per Donna,Via,GIOVANNI RASORI,2,6190,7,4.0,59.0
Tipo A - Estetica Manuale,Via,GIOVANNI RASORI,2,6190,7,8.0,30.0
Tipo A - Estetica Manuale,Via,GIOVANNI RASORI,4,6190,7,8.0,45.0
Parrucchiere per Donna,Via,GIOVANNI RASORI,8,6190,7,4.0,32.0
Tipo A - Estetica Manuale;Tipo C - Trattamenti Estetici Dimagrimento;Tipo B - Centro di Abbronzatura,Via,ANTONIO SCARPA,15,6191,7,2.5,55.0
Parrucchiere per Donna,Corso,VERCELLI,35,6193,7,4.0,78.0
Tipo A - Estetica Manuale,Corso,VERCELLI,37,6193,7,8.0,50.0
Tipo A - Estetica Manuale,Corso,VERCELLI,52,6193,7,8.0,50.0
Tipo A - Estetica Manuale,Corso,VERCELLI,7,6193,7,8.0,90.0
Tipo A - Estetica Manuale,Via,PAOLO GIOVIO,19,6194,7,8.0,16.0
Parrucchiere per Donna,Via,PAOLO GIOVIO,4,6194,7,4.0,31.0
Tipo A - Estetica Manuale;Tipo C - Trattamenti Estetici Dimagrimento,Via,PAOLO GIOVIO,4,6194,7,2.0,35.5
Tipo A - Estetica Manuale;Tipo B - Centro di Abbronzatura,Via,PAOLO GIOVIO,45,6194,7,26.5,48.5
Parrucchiere per Uomo;Parrucchiere per Donna,Via,PAOLO GIOVIO,8,6194,7,8.0,42.0
Tipo A - Estetica Manuale,Via,GIOVANNI DE ALESSANDRI,7,6196,7,8.0,45.0
Acconciatore,Via,COLUCCIO SALUTATI,2,6197,7,6.0,39.0
Tipo A - Estetica Manuale,Via,SANTA MARIA ALLA PORTA,1,620,1,8.0,50.0
Parrucchiere per Donna,Via,ANDREA VERGA,22,6200,7,4.0,18.0
Parrucchiere per Donna,Via,LIPARI,4,6203,7,4.0,31.0
Tipo A - Estetica Manuale,Largo,SETTIMIO SEVERO,4,6210,7,8.0,34.0
Parrucchiere per Uomo,Largo,SETTIMIO SEVERO,6,6210,7,2.0,13.0
Parrucchiere per Uomo,Viale,SAN MICHELE DEL CARSO,18,6212,7,5.0,23.0
Parrucchiere per Uomo,Viale,SAN MICHELE DEL CARSO,2,6212,7,5.0,20.5
Acconciatore,Viale,SAN MICHELE DEL CARSO,20,6212,7,6.0,30.0
Tipo A - Estetica Manuale;Tipo B - Centro di Abbronzatura,Viale,SAN MICHELE DEL CARSO,22,6212,7,26.5,48.5
Parrucchiere per Donna,Viale,SAN MICHELE DEL CARSO,6,6212,7,4.0,74.0
Tipo A - Estetica Manuale;Tipo B - Centro di Abbronzatura,Viale,SAN MICHELE DEL CARSO,7,6212,1,26.5,48.5
Parrucchiere per Donna,Via,ANTONIO DUGNANI,1,6223,1,4.0,39.0
Tipo A - Estetica Manuale,Via,EGADI,12,6235,7,8.0,72.0
Acconciatore,Via,COSTANZA,3,6237,7,3.0,74.0
Acconciatore,Via,SANTA MARIA SEGRETA,7,624,1,6.0,54.0
Parrucchiere per Donna,Via,MATILDE SERAO,7,6241,7,4.0,45.0
Acconciatore,Via,LUIGI PIRANDELLO,4,6242,7,6.0,37.0
Tipo A - Estetica Manuale;Tipo B - Centro di Abbronzatura,Via,LUIGI PIRANDELLO,4A,6242,7,26.5,100.0
Parrucchiere per Uomo,Via,ELBA,8,6243,7,5.0,15.0
Parrucchiere per Donna,Via,PIERO CAPPONI,1,6249,7,4.0,31.0
Parrucchiere per Donna,Via,PIERO CAPPONI,4,6249,7,4.0,32.0
Tipo A - Estetica Manuale;Tipo B - Centro di Abbronzatura,Via,PIERO CAPPONI,5,6249,7,26.5,48.5
Tipo A - Estetica Manuale;Tipo B - Centro di Abbronzatura,Via,MICHELANGELO BUONARROTI,4,6253,7,26.5,74.0
Acconciatore;Tipo A - Estetica Manuale;Tipo B - Centro di Abbronzatura,Via,GIUSEPPE ORGANDINO,2,6255,7,20.0,70.0
Parrucchiere per Donna,Via,DEL FUSARO,2,6258,7,4.0,55.0
Parrucchiere per Donna,Via,TRIESTE,15,6261,7,4.0,60.0
Acconciatore,Via,TRIESTE,19,6261,7,6.0,54.0
Parrucchiere per Uomo,Via,GIASONE DEL MAINO,31,6262,7,5.0,36.0
Parrucchiere per Donna,Via,SARDEGNA,31,6265,7,4.0,31.0
Acconciatore;Tipo A - Estetica Manuale,Via,SARDEGNA,35,6265,7,3.0,55.0
Parrucchiere per Uomo;Parrucchiere per Donna;Parrucchiere per Uomo,Piazza,SICILIA,1,6266,7,18.0,50.0
Parrucchiere per Uomo,Piazza,SICILIA,7,6266,7,20.0,17.0
Parrucchiere per Donna,Via,ALBERICO GENTILI,1,6270,7,4.0,31.0
Tipo A - Estetica Manuale,Viale,ERGISTO BEZZI,1,6272,7,8.0,50.0
Parrucchiere per Donna,Viale,ERGISTO BEZZI,5,6272,7,4.0,25.0
Acconciatore;Tipo A - Estetica Manuale;Tipo B - Centro di Abbronzatura,Viale,ERGISTO BEZZI,73,6272,7,8.0,51.0
Centro Massaggi,Viale,ERGISTO BEZZI,77,6272,7,16.0,77.0
Parrucchiere per Donna,Via,LUIGI SACCO,3,6275,7,4.0,88.0
Acconciatore,Piazza,ERNESTO DE ANGELI,1,6276,7,6.0,37.0
Tipo B - Centro di Abbronzatura;Tipo A - Estetica Manuale;Parrucchiere per Uomo,Piazza,ERNESTO DE ANGELI,1,6276,7,16.0,87.0
Tipo A - Estetica Manuale;Tipo B - Centro di Abbronzatura,Piazza,ERNESTO DE ANGELI,1,6276,7,26.5,48.5
Parrucchiere per Uomo,Piazza,ERNESTO DE ANGELI,3,6276,7,24.0,52.0
Tipo A - Estetica Manuale;Tipo B - Centro di Abbronzatura,Piazza,ERNESTO DE ANGELI,3,6276,7,26.5,48.5
Acconciatore,Via,ANTONIO TOLOMEO TRIVULZIO,2,6277,7,6.0,45.0
Tipo A - Estetica Manuale;Tipo D - Estetica Apparati Elettromeccanici;Tipo C - Trattamenti Estetici Dimagrimento,Via,ANTONIO TOLOMEO TRIVULZIO,30,6277,7,13.0,40.0
Parrucchiere per Donna,Via,ANTONIO TOLOMEO TRIVULZIO,4,6277,7,4.0,40.0
Parrucchiere per Donna,Via,MARGHERA,10,6280,7,4.0,23.0
Tipo A - Estetica Manuale,Via,MARGHERA,10,6280,7,8.0,45.0
Tipo B - Centro di Abbronzatura;Acconciatore;Tipo A - Estetica Manuale,Via,MARGHERA,14,6280,7,16.0,68.0
Tipo B - Centro di Abbronzatura;Tipo A - Estetica Manuale;Parrucchiere per Uomo,Via,MARGHERA,18,6280,7,16.0,94.0
Tipo A - Estetica Manuale,Via,CUNEO,3,6281,7,8.0,45.0
Parrucchiere per Donna,Via,SAN SIRO,16,6282,7,15.0,40.0
Tipo A - Estetica Manuale;Tipo B - Centro di Abbronzatura,Via,SAN SIRO,20,6282,7,26.5,48.5
Parrucchiere per Uomo,Via,SAN SIRO,7,6282,7,11.0,30.0
Parrucchiere per Donna,Via,RAFFAELLO SANZIO,16,6283,7,4.0,32.0
Parrucchiere per Donna,Via,RAFFAELLO SANZIO,26,6283,7,4.0,31.0
Tipo A - Estetica Manuale;Tipo C - Trattamenti Estetici Dimagrimento,Via,RAFFAELLO SANZIO,26,6283,7,2.0,36.0
Parrucchiere per Uomo,Via,RAFFAELLO SANZIO,27,6283,7,5.0,22.0
Parrucchiere per Uomo,Via,RAFFAELLO SANZIO,2A,6283,7,5.0,20.5
Tipo A - Estetica Manuale;Tipo D - Estetica Apparati Elettromeccanici;Tipo C - Trattamenti Estetici Dimagrimento,Via,RAFFAELLO SANZIO,36,6283,7,13.0,30.0
Tipo A - Estetica Manuale;Tipo B - Centro di Abbronzatura,Via,RAFFAELLO SANZIO,39,6283,7,26.5,16.0
Tipo A - Estetica Manuale,Via,VITTORIA COLONNA,13,6284,7,8.0,45.0
Acconciatore;Tipo A - Estetica Manuale,Via,VITTORIA COLONNA,43,6284,7,3.0,55.0
Acconciatore;Tipo A - Estetica Manuale,Via,VITTORIA COLONNA,51,6284,7,3.0,55.0
Acconciatore,Via,VITTORIA COLONNA,8,6284,7,6.0,34.0
Acconciatore;Tipo A - Estetica Manuale,Via,CARLO RAVIZZA,21,6285,7,3.0,63.0
Parrucchiere per Uomo;Parrucchiere per Donna,Via,CARLO RAVIZZA,24,6285,7,6.0,30.5
Tipo A - Estetica Manuale;Tipo B - Centro di Abbronzatura,Via,CARLO RAVIZZA,4,6285,7,26.5,48.5
Esecuzione di Tatuaggi e Piercing,Via,CARLO RAVIZZA,8,6285,7,25.0,39.0
Acconciatore,Via,FEDERICO FARUFFINI,11,6286,7,6.0,30.0
Tipo A - Estetica Manuale;Tipo B - Centro di Abbronzatura,Via,FEDERICO FARUFFINI,11,6286,7,26.5,30.0
Tipo A - Estetica Manuale;Tipo B - Centro di Abbronzatura,Via,FEDERICO FARUFFINI,15,6286,7,26.5,56.0
Parrucchiere per Donna,Via,FEDERICO FARUFFINI,7,6286,7,4.0,39.0
Parrucchiere per Donna,Via,CORREGGIO,57,6287,7,4.0,31.0
Parrucchiere per Donna,Via,CORREGGIO,63,6287,7,14.0,26.0
Parrucchiere per Uomo;Parrucchiere per Donna,Via,CORREGGIO,69,6287,7,14.0,23.0
Acconciatore,Via,CORREGGIO,8,6287,7,6.0,37.0
Parrucchiere per Uomo,Via,DOMENICO CIMAROSA,5,6291,7,5.0,13.0
Tipo A - Estetica Manuale;Tipo B - Centro di Abbronzatura,Via,ANGELO MAURI,3,6296,7,26.5,48.5
Tipo A - Estetica Manuale,Via,ANGELO MAURI,5,6296,7,8.0,45.0
Tipo A - Estetica Manuale,Via,ANGELO MAURI,6,6296,7,8.0,45.0
Parrucchiere per Donna,Viale,DANIELE RANZONI,2,6297,7,4.0,17.0
Tipo A - Estetica Manuale;Tipo C - Trattamenti Estetici Dimagrimento,Viale,DANIELE RANZONI,2,6297,7,2.0,35.5
Parrucchiere per Donna,Viale,DANIELE RANZONI,27,6297,7,9.0,36.0
Parrucchiere per Donna,Viale,DANIELE RANZONI,6,6297,7,4.0,31.0
Parrucchiere per Donna,Viale,DANIELE RANZONI,7,6297,7,26.0,42.0
Parrucchiere per Uomo,Via,SANTA MARIA FULCORINA,13,630,1,5.0,17.0
Tipo A - Estetica Manuale,Via,POMPEO MARCHESI,41,6304,7,8.0,40.0
Parrucchiere per Uomo,Via,BENEDETTO CACCIATORI,1,6305,7,5.0,20.5
Acconciatore,Via,BENEDETTO CACCIATORI,12,6305,7,6.0,46.0
Tipo A - Estetica Manuale,Via,BENEDETTO CACCIATORI,12,6305,7,8.0,55.0
Parrucchiere per Donna,Via,FRATELLI ZOIA,220,6306,7,7.0,17.0
Tipo A - Estetica Manuale,Piazza,BORROMEO,5,631,1,8.0,29.0
Acconciatore,Via,ZURIGO,22,6318,7,6.0,37.0
Acconciatore,Via,MORIGI,1,633,1,6.0,36.0
Parrucchiere per Donna,Piazza,GIOSIA MONTI,1,6332,7,4.0,42.0
Tipo A - Estetica Manuale,Piazza,GIOSIA MONTI,9,6332,7,8.0,9.0
Parrucchiere per Uomo,Via,QUINTO ROMANO,14,6333,7,5.0,16.0
Parrucchiere per Donna,Via,QUINTO ROMANO,52,6333,7,7.0,27.0
Parrucchiere per Donna,Via,QUINTO ROMANO,70,6333,7,4.0,24.0
Acconciatore,Via,DEI MARTINITT,3,6336,7,6.0,45.0
Parrucchiere per Donna,Via,DELLE STELLINE,1,6337,7,35.0,34.0
Parrucchiere per Uomo,Via,PIERO MARTINETTI,31,6339,7,5.0,20.5
Tipo A - Estetica Manuale,Via,CAPPUCCIO,2,634,1,8.0,29.0
Tipo A - Estetica Manuale,Via,GIACOMO GRIZIOTTI,4,6347,8,8.0,70.0
Tipo B - Centro di Abbronzatura;Tipo A - Estetica Manuale;Parrucchiere per Uomo,Via,LUCA DELLA ROBBIA,8,6349,8,16.0,33.0
Centro Massaggi;Centro Benessere,Piazza,SEI FEBBRAIO,12,6358,8,6.0,67.0
Parrucchiere per Donna;Tipo A - Estetica Manuale;Tipo B - Centro di Abbronzatura,Piazza,SEI FEBBRAIO,16,6358,8,2.0,40.0
Parrucchiere per Uomo,Piazza,SEI FEBBRAIO,26,6358,8,5.0,20.0
Tipo A - Estetica Manuale;Esecuzione di Tatuaggi e Piercing,Viale,CASSIODORO,12,6359,8,33.0,35.0
Acconciatore;Tipo A - Estetica Manuale,Viale,CASSIODORO,4,6359,8,3.0,55.0
Parrucchiere per Donna,Via,VIGNA,5,636,1,3.0,17.0
Tipo A - Estetica Manuale;Tipo B - Centro di Abbronzatura,Piazzale,GIULIO CESARE,6,6361,8,26.5,48.5
Parrucchiere per Donna,Piazzale,ARDUINO,9,6365,8,4.0,31.0
Parrucchiere per Uomo,Via,ENZO FERRIERI,12,6367,7,5.0,20.5
Tipo A - Estetica Manuale;Tipo C - Trattamenti Estetici Dimagrimento;Tipo B - Centro di Abbronzatura,Via,ENZO FERRIERI,12,6367,7,2.5,55.0
Acconciatore,Via,ENZO FERRIERI,16,6367,7,6.0,37.0
Parrucchiere per Donna,Via,BRISA,15,637,1,4.0,21.0
Tipo A - Estetica Manuale,Via,BRISA,3,637,1,8.0,45.0
Parrucchiere per Uomo,Via,BERNARDINO LUINI,7,638,1,5.0,24.0
Tipo A - Estetica Manuale,Via,BERNARDINO LUINI,9,638,1,8.0,45.0
Tipo A - Estetica Manuale,Via,TIZIANO,19,6380,8,8.0,60.0
Parrucchiere per Donna,Via,DOMENICHINO,2,6383,7,4.0,31.0
Tipo A - Estetica Manuale;Tipo B - Centro di Abbronzatura,Via,DOMENICHINO,2,6383,7,26.5,48.5
Parrucchiere per Donna,Via,DOMENICHINO,3,6383,7,4.0,55.0
Parrucchiere per Uomo,Via,GAETANO PREVIATI,21,6384,7,5.0,20.5
Parrucchiere per Donna,Via,GAETANO PREVIATI,72,6384,7,4.0,33.0
Acconciatore,Via,MOSE' BIANCHI,11,6385,7,6.0,28.0
Parrucchiere per Donna,Via,MOSE' BIANCHI,26,6385,7,4.0,31.0
Parrucchiere per Donna,Via,MONTE ROSA,3,6388,7,4.0,37.0
Tipo A - Estetica Manuale;Tipo B - Centro di Abbronzatura,Via,MONTE ROSA,62,6388,8,26.5,48.5
Acconciatore;Tipo A - Estetica Manuale;Tipo B - Centro di Abbronzatura,Via,MONTE ROSA,69,6388,7,20.0,76.0
Parrucchiere per Donna;Tipo A - Estetica Manuale,Via,FILIPPO CARCANO,10,6389,7,11.0,80.0
Tipo A - Estetica Manuale,Via,FILIPPO CARCANO,4,6389,7,8.0,69.0
Parrucchiere per Uomo,Via,ELEUTERIO PAGLIANO,35,6390,7,5.0,31.0
Parrucchiere per Donna;Tipo A - Estetica Manuale,Via,GIUSEPPE PELLIZZA DA VOLPEDO,12,6391,7,11.0,38.0
Tipo A - Estetica Manuale;Tipo B - Centro di Abbronzatura,Via,GIUSEPPE PELLIZZA DA VOLPEDO,26,6391,7,26.5,48.5
Acconciatore;Tipo A - Estetica Manuale;Tipo B - Centro di Abbronzatura,Via,MONTE BIANCO,2A,6392,8,20.0,31.0
Acconciatore,Via,DESIDERIO DA SETTIGNANO,3,6395,8,6.0,37.0
Parrucchiere per Uomo,Via,SEBASTIANO DEL PIOMBO,12,6397,8,5.0,41.0
Acconciatore,Via,SEBASTIANO DEL PIOMBO,15,6397,8,6.0,40.0
Tipo A - Estetica Manuale;Tipo B - Centro di Abbronzatura,Via,SEBASTIANO DEL PIOMBO,23,6397,8,26.5,85.0
Parrucchiere per Uomo,Via,SEBASTIANO DEL PIOMBO,3,6397,8,5.0,20.5
Tipo A - Estetica Manuale,Via,SEBASTIANO DEL PIOMBO,3,6397,8,8.0,45.0
Parrucchiere per Donna,Via,SEBASTIANO DEL PIOMBO,4,6397,8,4.0,68.0
Parrucchiere per Donna,Via,FRANCESCO ALBANI,58,6399,8,9.0,58.0
Acconciatore,Via,FRANCESCO ALBANI,63,6399,8,3.0,33.0
Tipo A - Estetica Manuale,Via,FRANCESCO ALBANI,71,6399,8,8.0,85.0
Parrucchiere per Donna,Via,GUGLIELMO SILVA,29,6400,8,4.0,20.0
Parrucchiere per Donna,Via,GUGLIELMO SILVA,35,6400,8,4.0,24.0
Tipo A - Estetica Manuale,Via,GUGLIELMO SILVA,39,6400,8,8.0,45.0
Tipo A - Estetica Manuale,Via,GUGLIELMO SILVA,43,6400,8,8.0,55.0
Parrucchiere per Donna,Via,GUGLIELMO SILVA,45,6400,8,4.0,17.0
Parrucchiere per Uomo,Via,GUGLIELMO SILVA,49,6400,8,5.0,52.0
Parrucchiere per Donna;Tipo A - Estetica Manuale;Tipo C - Trattamenti Estetici Dimagrimento;Tipo B - Centro di Abbronzatura,Via,GIOVANNI ROTONDI,8,6404,8,12.5,100.0
Parrucchiere per Uomo,Via,DEL MELLA,5,6416,7,4.0,17.0
Tipo A - Estetica Manuale;Tipo B - Centro di Abbronzatura,Via,MASACCIO,19,6420,8,26.5,52.0
Centro Massaggi,Via,PAOLO UCCELLO,14,6421,8,14.0,40.0
Acconciatore;Tipo A - Estetica Manuale,Viale,PAOLO ONORATO VIGLIANI,19,6422,8,3.0,55.0
Parrucchiere per Donna,Via,SEBASTIANO VENIERO,16,6423,8,3.0,40.0
Tipo A - Estetica Manuale,Via,MELORIA,14,6424,8,8.0,35.0
Parrucchiere per Uomo,Viale,RENATO SERRA,57,6426,8,5.0,20.5
Tipo A - Estetica Manuale,Piazza,SANT'AMBROGIO,2,643,1,8.0,45.0
Parrucchiere per Uomo;Parrucchiere per Donna,Piazza,SANT'AMBROGIO,5,643,1,6.0,53.0
Acconciatore;Tipo A - Estetica Manuale,Via,TERRAGGIO,23,644,1,3.0,67.0
Parrucchiere per Donna,Via,COLLECCHIO,2,6459,8,4.0,30.0
Parrucchiere per Uomo,Via,ISERNIA,5,6461,8,5.0,20.5
Parrucchiere per Donna,Via,GIOVANNI CIMABUE,19,6466,8,11.0,14.0
Tipo A - Estetica Manuale;Tipo B - Centro di Abbronzatura,Piazza,CARLO STUPARICH,18,6468,8,26.5,79.0
Acconciatore,Via,NIKOLAJEVKA,3,6473,7,6.0,42.0
Parrucchiere per Donna,Via,ANTONIO PANIZZI,12,6486,6,5.0,45.0
Tipo A - Estetica Manuale,Via,ANTONIO PANIZZI,12,6486,6,8.0,45.0
Parrucchiere per Donna,Via,LUIGI SCROSATI,8,6488,6,4.0,21.0
Parrucchiere per Uomo;Parrucchiere per Donna;Parrucchiere per Uomo,Via,TRENNO,15,6491,8,6.0,34.0
Parrucchiere per Donna,Via,FELICE BISLERI,11,6501,7,3.0,80.0
Parrucchiere per Donna,Via,VAL LEVENTINA,3,6507,7,4.0,49.0
Acconciatore,Via,MARTIRI TRIESTINI,3,6509,7,6.0,51.0
Acconciatore,Piazzale,FRATELLI ZAVATTARI,4,6537,7,6.0,49.0
Tipo B - Centro di Abbronzatura;Tipo A - Estetica Manuale,Piazzale,FRATELLI ZAVATTARI,6,6537,7,30.0,54.5
Acconciatore,Largo,DELLA CROCETTA,2,654,1,6.0,37.0
Parrucchiere per Donna,Via,ALESSANDRO MAGNASCO,1,6546,7,4.0,26.0
Tipo A - Estetica Manuale;Tipo C - Trattamenti Estetici Dimagrimento;Tipo B - Centro di Abbronzatura,Via,LORENZO DI CREDI,10,6547,7,2.5,89.0
Acconciatore,Via,LORENZO DI CREDI,6,6547,7,11.0,50.0
Parrucchiere per Donna,Viale,MURILLO,1,6551,7,4.0,39.0
Tipo A - Estetica Manuale,Viale,MURILLO,11,6551,7,8.0,32.0
Parrucchiere per Uomo;Parrucchiere per Donna;Parrucchiere per Uomo,Via,VODICE,1,6552,7,2.0,31.0
Parrucchiere per Donna,Via,VODICE,9,6552,7,2.0,21.0
Parrucchiere per Uomo;Parrucchiere per Donna,Via,DANIELE RICCIARELLI,1,6553,7,6.0,30.5
Acconciatore,Via,DANIELE RICCIARELLI,20,6553,7,16.0,39.0
Parrucchiere per Uomo;Parrucchiere per Donna,Via,DANIELE RICCIARELLI,29,6553,7,6.0,25.0
Acconciatore,Via,DANIELE RICCIARELLI,39,6553,7,6.0,32.0
Parrucchiere per Donna,Via,DANIELE RICCIARELLI,45,6553,7,4.0,29.0
Parrucchiere per Uomo,Via,CARLO DOLCI,16,6555,7,3.0,19.0
Parrucchiere per Donna,Via,CARLO DOLCI,38,6555,7,2.0,32.0
Tipo A - Estetica Manuale,Via,CACCIALEPORI,3,6557,7,8.0,45.0
Parrucchiere per Uomo,Via,CACCIALEPORI,36,6557,7,5.0,18.0
Parrucchiere per Uomo,Piazza,MONTE FALTERONA,2,6558,7,11.0,22.0
Acconciatore,Piazza,MONTE FALTERONA,3,6558,7,6.0,52.0
Tipo A - Estetica Manuale,Piazza,MONTE FALTERONA,6,6558,7,8.0,17.0
Parrucchiere per Donna,Via,MARIOTTO ALBERTINELLI,4,6561,7,4.0,28.0
Esecuzione di Tatuaggi e Piercing,Via,MARIOTTO ALBERTINELLI,7,6561,7,25.0,67.0
Acconciatore,Via,GIACINTO GIGANTE,5,6562,7,6.0,28.0
Tipo A - Estetica Manuale,Via,GIUSEPPE MASSARENTI,18,6564,7,8.0,79.0
Centro Massaggi,Viale,ARETUSA,17,6565,7,32.0,32.0
Parrucchiere per Uomo,Viale,ARETUSA,19,6565,7,9.0,21.0
Parrucchiere per Donna,Viale,ARETUSA,20,6565,7,4.0,59.0
Centro Benessere,Viale,ARETUSA,30,6565,7,5.0,48.0
Parrucchiere per Uomo,Viale,ARETUSA,30,6565,7,5.0,20.5
Tipo A - Estetica Manuale,Viale,ARETUSA,34,6565,7,8.0,29.0
Acconciatore,Via,MARIO MORGANTINI,11,6568,7,6.0,45.0
Parrucchiere per Donna,Via,MARIO MORGANTINI,25,6568,7,4.0,36.0
Centro Massaggi,Via,MATTEO CIVITALI,13,6569,7,14.0,35.0
Acconciatore;Tipo A - Estetica Manuale,Via,MATTEO CIVITALI,25,6569,7,3.0,35.0
Parrucchiere per Uomo;Parrucchiere per Donna,Via,MATTEO CIVITALI,40,6569,7,4.0,20.0
Parrucchiere per Donna,Via,MATTEO CIVITALI,42,6569,7,4.0,18.0
Acconciatore,Via,MATTEO CIVITALI,7,6569,7,6.0,37.0
Centro Benessere;Centro Massaggi,Via,MATTEO CIVITALI,7,6569,7,18.0,56.0
Tipo A - Estetica Manuale,Via,PIER ALESSANDRO PARAVIA,2,6571,7,8.0,45.0
Acconciatore,Via,PIER ALESSANDRO PARAVIA,26,6571,7,6.0,40.0
Acconciatore,Via,PIER ALESSANDRO PARAVIA,77,6571,7,6.0,26.0
Acconciatore,Via,ALFONSO CAPECELATRO,14,6575,7,6.0,36.0
Tipo A - Estetica Manuale,Via,ALFONSO CAPECELATRO,14,6575,7,8.0,45.0
Tipo A - Estetica Manuale,Via,ALFONSO CAPECELATRO,19,6575,7,8.0,14.0
Tipo A - Estetica Manuale;Tipo B - Centro di Abbronzatura,Via,ALFONSO CAPECELATRO,20,6575,7,26.5,48.5
Acconciatore,Via,ALFONSO CAPECELATRO,23,6575,7,6.0,45.0
Tipo A - Estetica Manuale,Via,ALFONSO CAPECELATRO,23,6575,7,8.0,45.0
Parrucchiere per Uomo,Via,ALFONSO CAPECELATRO,29,6575,7,5.0,24.0
Parrucchiere per Donna,Via,ALFONSO CAPECELATRO,35,6575,7,4.0,16.0
Parrucchiere per Donna,Via,ALFONSO CAPECELATRO,61,6575,7,4.0,23.0
Tipo A - Estetica Manuale,Via,ALFONSO CAPECELATRO,87,6575,7,8.0,45.0
Acconciatore,Via,SAVERIO ALTAMURA,17,6576,7,6.0,37.0
Acconciatore,Via,SAVERIO ALTAMURA,7,6576,7,6.0,37.0
Acconciatore,Piazza,ROSA SCOLARI,1,6579,8,6.0,20.0
Parrucchiere per Donna,Piazza,ROSA SCOLARI,4,6579,8,4.0,30.0
Parrucchiere per Donna;Tipo A - Estetica Manuale,Via,MAFFEO BAGAROTTI,38,6585,7,11.0,50.0
Parrucchiere per Uomo,Via,SANT'ANATALONE,6,6587,6,3.0,15.0
Parrucchiere per Uomo,Via,PASQUALE FORNARI,4,6592,7,5.0,20.5
Parrucchiere per Donna,Via,PASQUALE FORNARI,44,6592,7,4.0,31.0
Acconciatore,Piazzale,VERONICA GAMBARA,5,6593,7,6.0,37.0
Acconciatore,Via,ANTONELLO DA MESSINA,22,6594,7,7.0,25.0
Acconciatore,Via,OSOPPO,13,6596,7,6.0,37.0
Tipo A - Estetica Manuale,Via,OSOPPO,13,6596,7,8.0,45.0
Parrucchiere per Uomo,Via,PIETRO RUBENS,10,6597,7,4.0,18.0
Tipo A - Estetica Manuale;Tipo B - Centro di Abbronzatura,Via,PIETRO RUBENS,13,6597,7,26.5,48.5
Acconciatore,Via,PIETRO RUBENS,14,6597,7,6.0,35.0
Tipo A - Estetica Manuale,Via,PIETRO RUBENS,19,6597,7,8.0,45.0
Parrucchiere per Donna,Via,PIETRO RUBENS,22,6597,7,4.0,16.0
Acconciatore;Tipo A - Estetica Manuale;Tipo B - Centro di Abbronzatura,Via,PARMIGIANINO,14,6599,7,20.0,84.0
Acconciatore,Via,PISANELLO,2,6600,7,11.0,28.0
Acconciatore,Via,PISANELLO,21,6600,7,6.0,25.0
Parrucchiere per Donna,Via,PISANELLO,26,6600,7,4.0,16.0
Parrucchiere per Uomo,Via,PISANELLO,8,6600,7,12.0,27.0
Centro Benessere,Via,POGGIBONSI,14,6601,7,5.0,56.0
Parrucchiere per Donna,Via,POGGIBONSI,14,6601,7,4.0,31.0
Tipo A - Estetica Manuale,Via,POGGIBONSI,14,6601,7,8.0,45.0
Parrucchiere per Donna,Via,JACOPO PALMA,10,6605,7,4.0,24.0
Acconciatore,Via,JACOPO PALMA,26,6605,7,6.0,24.0
Acconciatore,Via,JACOPO PALMA,5,6605,7,13.0,34.0
Tipo A - Estetica Manuale;Tipo B - Centro di Abbronzatura,Via,JACOPO PALMA,9,6605,7,26.5,20.0
Parrucchiere per Uomo,Via,SOFONISBA ANGUISSOLA,23,6609,7,5.0,20.5
Acconciatore,Via,SOFONISBA ANGUISSOLA,31,6609,7,6.0,31.0
Parrucchiere per Donna,Viale,CATERINA DA FORLI',1,6611,6,6.0,36.0
Parrucchiere per Donna,Viale,CATERINA DA FORLI',34,6611,7,4.0,28.0
Parrucchiere per Donna,Viale,CATERINA DA FORLI',42,6611,7,13.0,51.0
Parrucchiere per Donna,Viale,CATERINA DA FORLI',58,6611,7,4.0,14.0
