"CODICE_VIA";"NUMEROCOMPLETO";"MUNICIPIO";"STATOCIVICO";"GAUSSB_X";"GAUSSB_Y";"WGS84_X";"WGS84_Y";"WEBMERCATOR_X";"WEBMERCATOR_Y";"LAT_WGS84";"LONG_WGS84";"DATA_MODFINE";"IDMASTER";"LIVELLO"
1426;"";"9";8;1516010,2143;5039325,4699;515982,1787;5039305,3682;1024650,5931;5701710,0347;45,507097;9,204593;0;185922;0
1427;"";"9";8;1516872,6624;5040850,269;516844,6041;5040830,1421;1025885,407;5703887,1057;45,520802;9,215685;0;182730;0
1428;"";"9";8;1515670,7422;5038967,7234;515642,7145;5038947,627;1024165,5766;5701199,794;45,503885;9,200236;0;185060;0
1429;"";"9";8;1515792,4057;5039105,794;515764,3751;5039085,6956;1024339,4306;5701396,7524;45,505125;9,201798;0;182731;0
1430;"";"9";8;1515733,9226;5039164,5255;515705,8929;5039144,4258;1024256,3043;5701480,9286;45,505655;9,201051;0;182732;0
1431;"";"9";8;1515922,7973;5039297,4477;515894,7635;5039277,3462;1024525,9229;5701670,288;45,506847;9,203473;0;182733;0
1432;"";"9";8;1515976,8099;5039642,3814;515948,7736;5039622,2736;1024604,1379;5702163,2611;45,509951;9,204176;0;185923;0
1433;"";"9";8;1515981,2278;5039752,4323;515953,191;5039732,3224;1024610,8319;5702320,5959;45,510941;9,204236;0;182734;0
1434;"";"9";8;1516106,1066;5039584,1417;516078,0681;5039564,0355;1024788,1826;5702079,5199;45,509424;9,205829;0;182735;0
1435;"";"9";8;1516307,0109;5039498,6143;516278,969;5039478,5106;1025074,1672;5701956,4963;45,508649;9,208398;0;182736;0
1436;"";"9";8;1516571,7355;5039612,1608;516543,6881;5039592,056;1025451,8359;5702117,8529;45,509665;9,211791;0;185924;0
1437;"";"9";8;1516355,1548;5039356,1856;516327,1125;5039336,0848;1025142,2467;5701752,6819;45,507366;9,209009;0;182737;0
1438;"";"9";8;1516244,3106;5039895,7284;516216,2682;5039875,6169;1024986,2773;5702524,5219;45,512225;9,207608;0;182738;0
1439;"";"9";8;1516302,8978;5040032,3164;516274,8537;5040012,2026;1025070,2758;5702719,6072;45,513453;9,208363;0;182739;0
1440;"";"9";8;1516336,1633;5040079,2907;516308,1184;5040059,1761;1025117,8582;5702786,6515;45,513875;9,20879;0;186145;0
1441;"";"9";8;1515665,0841;5039133,4955;515637,0558;5039113,396;1024158,1019;5701436,8111;45,505377;9,200169;0;183838;0
1442;"";"9";8;1516111,8077;5041492,9925;516083,7611;5041472,8502;1024803,2724;5704809,1386;45,526605;9,205964;0;183839;0
1443;"";"9";8;1514979,7438;5039470,7435;514951,727;5039450,6348;1023182,6644;5701921,3631;45,508428;9,191406;0;183840;0
1444;"";"9";8;1516020,6796;5041474,6165;515992,6348;5041454,4742;1024673,3033;5704783,19;45,526441;9,204797;0;183841;0
1445;"";"9";8;1515674,1892;5039498,183;515646,1592;5039478,0766;1024172,37;5701958,1778;45,50866;9,200297;0;186146;0
1446;"";"9";8;1516266,1883;5041253,9167;516238,1398;5041233,7796;1025022,4596;5704466,6491;45,524449;9,207933;0;186147;0
1447;"";"9";8;1515667,9366;5039392,3716;515639,9072;5039372,2672;1024163,0846;5701806,9168;45,507707;9,200214;0;183842;0
1448;"";"9";8;1515835,6196;5039814,4263;515807,5852;5039794,3146;1024403,5483;5702409,7623;45,511502;9,202374;0;183843;0
1449;"";"9";8;1515317,6681;5040141,7896;515289,6421;5040121,6696;1023666,5448;5702879,6802;45,514461;9,195753;0;183844;0
1450;"";"9";8;1515106,101;5040127,3545;515078,0791;5040107,2339;1023364,9729;5702859,7705;45,514335;9,193044;0;186370;0
1451;"";"9";8;1515967,7401;5038950,0463;515939,7068;5038929,9515;1024588,7106;5701173,4555;45,503719;9,204037;0;183845;0
